,SAR,CUSTOMER_TYPE.x,RISK_RATING.x,PEP_FLAG,OFFSHORE_FLAG,BUSINESS_TYPE_DESCRIPTION,COMPANY_FORM,MAIN_RELATIONSHIP_MGR_SRC_UNID,PARENT_CHILD_FLAG,PLACE_OF_BIRTH,DOMESTIC_PEP_CODE,DOMESTIC_PEP_SOURCE_CODE,FOREIGN_PEP_CODE,FOREIGN_PEP_SOURCE_CODE,ADDRESS_COUNTRY_REGION,ADDRESS_COUNTRY_RISK_WEIGHT,CUST_TYPE_ALTERNATIVE_DESCR,BUSINESS_TYPE,BUSINESS_TYPE_DESC,AVG_MT103_DEBIT_3M,AVG_MT103_DEBIT_12M,RATIO_NUM_MT103_12M,TTL_NUM_IN_MT202_M1_TXN,TTL_NUM_IN_MT202_M2_TXN,TTL_NUM_IN_MT202_M3_TXN,TTL_NUM_IN_MT202_M4_TXN,TTL_NUM_IN_MT202_M5_TXN,TTL_NUM_IN_MT202_M6_TXN,TTL_NUM_IN_MT202_M7_TXN,TTL_NUM_IN_MT202_M8_TXN,TTL_NUM_IN_MT202_M9_TXN,TTL_NUM_IN_MT202_M10_TXN,TTL_NUM_IN_MT202_M11_TXN,TTL_NUM_IN_MT202_M12_TXN,TTL_NUM_IN_MT103_202C_M1_TXN,CLIENT_ACC_KNOWN_FOR_MONTH,pred_rf.No_SAR,pred_rf.SAR,ratio_bins
1611,No_SAR,FI - Corr-Bank USA,High Risk (special case),N,N,66-FI-Corr-B-US - Correspondent Bank from USA,Aktiengesellschaft,WZBMFO,C,NA,NO_PEP,NONE,NO_PEP,NONE,NUS-CSTD,1,11 - Banks - FI,66-FI-Corr-B-US,66-FI-Corr-B-US - Correspondent Bank from USA,13,5.08,155.74,3,13,23,4,5,1,1,1,5,1,2,2,3,46,1.00,0.00,"(140,616]"
1612,No_SAR,FI - Corr-Bank Other,High Risk,N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBSTP,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU28 - EWR,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,35.33,24.58,43.73,32,36,38,32,36,36,34,23,21,14,9,13,3,79,0.96,0.04,"(43.6,51.6]"
1613,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBGUB,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU28 - EWR,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,501.33,304.08,64.87,567,483,454,460,366,382,392,318,330,227,55,97,85,83,0.14,0.86,"(63.9,88.9]"
1614,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Sonstige Rechtsformen,WZHZAT1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,195.67,121.5,61.04,135,350,102,50,61,81,112,158,180,80,73,77,134,82,0.79,0.21,"(51.6,63.9]"
1615,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZBTOI1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,224,377.5,-40.66,170,248,254,300,281,354,635,384,365,456,419,392,442,78,0.99,0.01,"(-51.1,-36.4]"
1616,No_SAR,FI - Corr-Bank CIS,High Risk (special case),N,N,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,Aktiengesellschaft,WZBTOI2,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS,3,11 - Banks - FI,66-FI-Corr-B-CIS,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,103.67,77.5,33.76,107,130,74,113,97,54,80,60,52,63,74,62,71,81,0.75,0.25,"(31.8,36.5]"
1617,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBBGD,C,NA,NO_PEP,NONE,NO_PEP,NONE,MID-EAST,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,168.33,282.25,-40.36,121,194,190,167,166,148,265,257,295,322,335,472,576,74,0.85,0.15,"(-51.1,-36.4]"
1618,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZBTOI1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,27.67,18.25,51.6,19,32,32,22,5,1,3,8,2,4,2,15,93,74,0.98,0.02,"(43.6,51.6]"
1619,No_SAR,FI - Corr-Bank CIS,High Risk (special case),N,N,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,Aktiengesellschaft,WZBKVA1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS,3,11 - Banks - FI,66-FI-Corr-B-CIS,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,48,32.83,46.19,38,51,55,39,25,11,2,30,40,34,51,35,21,82,0.85,0.15,"(43.6,51.6]"
1620,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBHBC,C,NA,NO_PEP,NONE,NO_PEP,NONE,ASIA,3,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,116,74,56.76,122,110,116,111,43,28,36,59,69,49,79,97,91,37,0.96,0.04,"(51.6,63.9]"
